"infinitive","stem","tense","person","pronoun","final_form"
"iri","ri","past","3p","ha","riri"
"iri","ri","past","3s","ọ","riri"
"iri","ri","past_perf","1p","anyị","ribugo"
"iri","ri","past_perf","1s","m","ribugo"
"iri","ri","past_perf","2p","unu","ribugo"
"iri","ri","past_perf","2s","ị","ribugo"
"iri","ri","past_perf","3p","ha","ribugo"
"iri","ri","past_perf","3s","ọ","ribugo"
"iri","ri","pres_cont","1p","anyị","anyị na ri"
"iri","ri","pres_cont","1s","m","m na ri"
"iri","ri","pres_cont","2p","unu","unu na ri"
"iri","ri","pres_cont","2s","ị","ị na ri"
"iri","ri","pres_cont","3p","ha","ha na ri"
"iri","ri","pres_cont","3s","ọ","ọ na ri"
"iri","ri","pres_perf","1p","anyị","rigo"
"iri","ri","pres_perf","1s","m","rigo"
"iri","ri","pres_perf","2p","unu","rigo"
"iri","ri","pres_perf","2s","ị","rigo"
"iri","ri","pres_perf","3p","ha","rigo"
"iri","ri","pres_perf","3s","ọ","rigo"
"iri","ri","present","1p","anyị","anyị ri"
"iri","ri","present","1s","m","m ri"
"iri","ri","present","2p","unu","unu ri"
"iri","ri","present","2s","ị","ị ri"
"iri","ri","present","3p","ha","ha ri"
"iri","ri","present","3s","ọ","ọ ri"
"ịbata","bata","future","1p","anyị","anyị ga bata"
"ịbata","bata","future","1s","m","m ga bata"
"ịbata","bata","future","2p","unu","unu ga bata"
"ịbata","bata","future","2s","ị","ị ga bata"
"ịbata","bata","future","3p","ha","ha ga bata"
"ịbata","bata","future","3s","ọ","ọ ga bata"
"ịbata","bata","past","1p","anyị","batara"
"ịbata","bata","past","1s","m","batara"
"ịbata","bata","past","2p","unu","batara"
"ịbata","bata","past","2s","ị","batara"
"ịbata","bata","past","3p","ha","batara"
"ịbata","bata","past","3s","ọ","batara"
"ịbata","bata","past_perf","1p","anyị","batabugo"
"ịbata","bata","past_perf","1s","m","batabugo"
"ịbata","bata","past_perf","2p","unu","batabugo"
"ịbata","bata","past_perf","2s","ị","batabugo"
"ịbata","bata","past_perf","3p","ha","batabugo"
"ịbata","bata","past_perf","3s","ọ","batabugo"
"ịbata","bata","pres_cont","1p","anyị","anyị na bata"
"ịbata","bata","pres_cont","1s","m","m na bata"
"ịbata","bata","pres_cont","2p","unu","unu na bata"
"ịbata","bata","pres_cont","2s","ị","ị na bata"
"ịbata","bata","pres_cont","3p","ha","ha na bata"
"ịbata","bata","pres_cont","3s","ọ","ọ na bata"
"ịbata","bata","pres_perf","1p","anyị","batago"
"ịbata","bata","pres_perf","1s","m","batago"
"ịbata","bata","pres_perf","2p","unu","batago"
"ịbata","bata","pres_perf","2s","ị","batago"
"ịbata","bata","pres_perf","3p","ha","batago"
"ịbata","bata","pres_perf","3s","ọ","batago"
"ịbata","bata","present","1p","anyị","anyị bata"
"ịbata","bata","present","1s","m","m bata"
"ịbata","bata","present","2p","unu","unu bata"
"ịbata","bata","present","2s","ị","ị bata"
